fator_entrelacamento,setores_gravados,tempo_gra_seq,tempo_lei_seq,tempo_grav_ale,tempo_lei_ale,tempo_medio,tempo_medio_fator
0,720,5929148,5907281,5944020,5910628,"5922769,25","14824211,9375"
0,1440,11923175,11817479,11938717,11826230,"11876400,25",
0,2160,17803309,17728154,17897653,17733160,17790569,
0,2880,23797813,23634190,23766037,23630397,"23707109,25",
1,720,5933207,5907276,5938512,5907781,5921694,"14812024,4375"
1,1440,11873930,11815047,11870968,11817250,"11844298,75",
1,2160,17794981,17722214,17800858,17723798,"17760462,75",
1,2880,23816261,23636641,23787308,23646359,"23721642,25",
2,720,6183605,5908044,5938721,5911243,"5985403,25","14855107,625"
2,1440,11904879,11814265,11966533,11822382,"11877014,75",
2,2160,18131930,17747166,17828538,17745949,"17863395,75",
2,2880,23747829,23652678,23750541,23627419,"23694616,75",
3,720,5926446,5906109,5935651,5906808,"5918753,5","14831405,25"
3,1440,11876591,11813277,11998097,11816557,"11876130,5",
3,2160,17787863,17719931,17795688,17723180,"17756665,5",
3,2880,23731708,23631350,24097610,23635618,"23774071,5",
4,720,5927342,5909225,5934788,5914461,5921454,"14809573,8125"
4,1440,11872908,11814415,11869565,11813419,"11842576,75",
4,2160,17794151,17719217,17807224,17721523,"17760528,75",
4,2880,23782495,23629431,23811056,23631961,"23713735,75",
5,720,5921006,5906854,5937449,5908851,5918540,"14829922,25"
5,1440,11868208,11813799,12100039,11814980,"11899256,5",
5,2160,17811374,17720828,17967150,17724886,"17806059,5",
5,2880,23764324,23634947,23754902,23629159,23695833,
6,720,5927414,5909458,5937410,5907605,"5920471,75","14814464,625"
6,1440,12020492,11821568,11871980,11815617,"11882414,25",
6,2160,17797174,17719414,17807094,17720963,"17761161,25",
6,2880,23733289,23626145,23768018,23647793,"23693811,25",
7,720,5926821,5906820,5935897,5908718,5919564,"14807231,6875"
7,1440,11864136,11813342,11877061,11814241,11842195,
7,2160,17793296,17723023,17814988,17724193,17763875,
7,2880,23806209,23626707,23752556,23627699,"23703292,75",
8,720,5924950,5906131,5933646,5906825,5917888,"14803135,0625"
8,1440,11858611,11813778,11891694,11813598,"11844420,25",
8,2160,17795025,17720392,17821686,17720244,"17764336,75",
8,2880,23737226,23625635,23752553,23628167,"23685895,25",
9,720,5981479,5908679,5936799,5908663,5933905,"14814800,375"
9,1440,11890376,11815098,11882444,11814671,"11850647,25",
9,2160,17802968,17724601,17852777,17727987,"17777083,25",
9,2880,23755656,23631710,23768890,23634008,23697566,
10,720,5934595,5907592,5944643,5908779,"5923902,25","14820474,8125"
10,1440,11909317,11820735,11869217,11823171,11855610,
10,2160,17796437,17720600,17887172,17733725,"17784483,5",
10,2880,23839340,23630228,23772118,23629928,"23717903,5",
11,720,5926757,5906498,5935351,5907997,"5919150,75","14808207,4375"
11,1440,11863724,11823667,11876398,11814555,11844586,
11,2160,17824885,17731075,17815692,17720877,"17773132,25",
11,2880,23727755,23632837,23794607,23628644,"23695960,75",
12,720,5927900,5906811,5933747,5906944,"5918850,5","14802088,5625"
12,1440,11873448,11812839,11869155,11815105,"11842636,75",
12,2160,17818384,17720210,17812456,17720580,"17767907,5",
12,2880,23725222,23626312,23737078,23627226,"23678959,5",
13,720,5925627,5906338,5933774,5907036,"5918193,75","14803747,8125"
13,1440,11860157,11813359,11910931,11814633,11849770,
13,2160,17811122,17719145,17813010,17720595,17765968,
13,2880,23732762,23624528,23739784,23627164,"23681059,5",
14,720,5947720,5906060,5938829,5907472,"5925020,25","14804634,1875"
14,1440,11869916,11814077,11869108,11814539,11841910,
14,2160,17796579,17719299,17818849,17720359,"17763771,5",
14,2880,23743688,23626960,23753043,23627649,23687835,
15,720,5925523,5906258,5944405,5907169,"5920838,75","14801825,875"
15,1440,11860035,11813061,11868621,11813547,11838816,
15,2160,17801227,17718910,17831358,17721113,17768152,
15,2880,23728230,23624668,23737764,23627325,"23679496,75",
16,720,5925511,5906095,5934087,5906726,"5918104,75","14801197,375"
16,1440,11860369,11812153,11881962,11813411,"11841973,75",
16,2160,17796807,17718650,17813655,17720821,"17762483,25",
16,2880,23726146,23624284,23750971,23627510,"23682227,75",
